,0
240,1.0019200374104176
241,1.001919740600286
242,1.0019194475283755
243,1.0019191585426055
244,1.0019188739919327
245,1.0019185942261397
246,1.001918319595354
247,1.0019180504498029
248,1.0019177871392249
249,1.0019175300130518
250,1.0019172794192803
251,1.001917035704776
252,1.0019167992147862
253,1.0019165702921036
254,1.0019163492772605
255,1.0019161365078384
256,1.0019159323183076
257,1.0019157370393201
258,1.001915550997802
259,1.0019153745158378
260,1.001915207911178
261,1.0019150514962643
262,1.0019149055778274
263,1.001914770456842
264,1.0019146464279396
265,1.0019145337788762
266,1.0019144327906753
267,1.0019143437362725
268,1.0019142668814398
269,1.0019142024830048
270,1.0019141507897027
271,1.0019141120409685
272,1.0019140864669538
273,1.0019140742881465
274,1.0019140757147704
275,1.0019140909465372
276,1.0019141201726554
277,1.0019141635707975
278,1.0019142213073187
279,1.0019142935366918
280,1.0019143804011374
281,1.0019144820304942
282,1.0019145985417262
283,1.0019147300386677
284,1.0019148766116275
285,1.00191503833743
286,1.0019152152788517
287,1.0019154074842291
288,1.0019156149874886
289,1.001915837807875
290,1.0019160759495374
291,1.0019163294014926
292,1.0019165981370952
293,1.0019168821143036
294,1.0019171812751324
295,1.0019174955455084
296,1.0019178248353
297,1.001918169038009
298,1.0019185280306107
299,1.0019189016736887
300,1.001919289810958
301,1.0019196922693039
302,1.0019201088589802
303,1.0019205393731385
304,1.0019209835879772
305,1.0019214412629591
306,1.0019219121401317
307,1.0019223959449899
308,1.0019228923855328
309,1.0019234011534437
310,1.0019239219231166
311,1.0019244543522068
312,1.001924998081714
313,1.0019255527360589
314,1.0019261179231795
315,1.0019266932347306
316,1.001927278246111
317,1.0019278725168792
318,1.0019284755907174
319,1.0019290869959263
320,1.001929706245304
321,1.0019303328367666
322,1.0019309662533684
323,1.0019316059637526
324,1.0019322514224007
325,1.0019329020700891
326,1.0019335573338792
327,1.0019342166280425
328,1.0019348793539344
329,1.0019355449007878
330,1.001936212645891
331,1.001936881955105
332,1.0019375521834246
333,1.001938222675504
334,1.0019388927656283
335,1.0019395617789664
336,1.0019402290319463
337,1.0019408938321412
338,1.0019415554798023
339,1.0019422132677205
340,1.0019428664820844
341,1.0019435144032751
342,1.0019441563062248
343,1.0019447914610489
344,1.001945419134048
345,1.00194603858796
346,1.0019466490827673
347,1.001947249876779
348,1.0019478402267803
349,1.001948419388999
350,1.0019489866200584
351,1.001949541177271
352,1.0019500823197471
353,1.001950609309105
354,1.0019511214100891
355,1.0019516178915053
356,1.0019520980268803
357,1.0019525610956428
358,1.0019530063831683
359,1.0019534331823894
360,1.0019538407941047
361,1.0019542285281269
362,1.0019545957036837
363,1.0019549416506743
364,1.0019552657102886
365,1.001955567235728
366,1.0019558455933846
367,1.0019561001633213
368,1.0019563303401957
369,1.0019565355340756
370,1.0019567151713529
371,1.001956868695413
372,1.0019569955676753
373,1.0019570952679977
374,1.0019571672959595
375,1.0019572111711257
376,1.0019572264344636
377,1.001957212648344
378,1.0019571693979628
379,1.001957096291865
380,1.0019569929624565
381,1.0019568590669217
382,1.001956694288054
383,1.0019564983348903
384,1.0019562709430372
385,1.0019560118758448
386,1.001955720924669
387,1.0019553979096416
388,1.0019550426804251
389,1.0019546551164424
390,1.0019542351278021
391,1.0019537826554816
392,1.0019532976720797
393,1.0019527801824744
394,1.0019522302236583
395,1.001951647866107
396,1.0019510332132355
397,1.0019503864022588
398,1.001949707604961
399,1.001948997027093
