,0
258,1.0019157370393201
259,1.001915550997802
260,1.0019153745158378
261,1.001915207911178
262,1.0019150514962643
263,1.0019149055778274
264,1.001914770456842
265,1.0019146464279396
266,1.0019145337788762
267,1.0019144327906753
268,1.0019143437362725
269,1.0019142668814398
270,1.0019142024830048
271,1.0019141507897027
272,1.0019141120409685
273,1.0019140864669538
274,1.0019140742881465
275,1.0019140757147704
276,1.0019140909465372
277,1.0019141201726554
278,1.0019141635707975
279,1.0019142213073187
280,1.0019142935366918
281,1.0019143804011374
282,1.0019144820304942
283,1.0019145985417262
284,1.0019147300386677
285,1.0019148766116275
286,1.00191503833743
287,1.0019152152788517
288,1.0019154074842291
289,1.0019156149874886
290,1.001915837807875
291,1.0019160759495374
292,1.0019163294014926
293,1.0019165981370952
294,1.0019168821143036
295,1.0019171812751324
296,1.0019174955455084
297,1.0019178248353
298,1.001918169038009
299,1.0019185280306107
300,1.0019189016736887
301,1.001919289810958
302,1.0019196922693039
303,1.0019201088589802
304,1.0019205393731385
305,1.0019209835879772
306,1.0019214412629591
307,1.0019219121401317
308,1.0019223959449899
309,1.0019228923855328
310,1.0019234011534437
311,1.0019239219231166
312,1.0019244543522068
313,1.001924998081714
314,1.0019255527360589
315,1.0019261179231795
316,1.0019266932347306
317,1.001927278246111
318,1.0019278725168792
319,1.0019284755907174
320,1.0019290869959263
321,1.001929706245304
322,1.0019303328367666
323,1.0019309662533684
324,1.0019316059637526
325,1.0019322514224007
326,1.0019329020700891
327,1.0019335573338792
328,1.0019342166280425
329,1.0019348793539344
330,1.0019355449007878
331,1.001936212645891
332,1.001936881955105
333,1.0019375521834246
334,1.001938222675504
335,1.0019388927656283
336,1.0019395617789664
337,1.0019402290319463
338,1.0019408938321412
339,1.0019415554798023
340,1.0019422132677205
341,1.0019428664820844
342,1.0019435144032751
343,1.0019441563062248
344,1.0019447914610489
345,1.001945419134048
346,1.00194603858796
347,1.0019466490827673
348,1.001947249876779
349,1.0019478402267803
350,1.001948419388999
351,1.0019489866200584
352,1.001949541177271
353,1.0019500823197471
354,1.001950609309105
355,1.0019511214100891
356,1.0019516178915053
357,1.0019520980268803
358,1.0019525610956428
359,1.0019530063831683
360,1.0019534331823894
361,1.0019538407941047
362,1.0019542285281269
363,1.0019545957036837
364,1.0019549416506743
365,1.0019552657102886
366,1.001955567235728
367,1.0019558455933846
368,1.0019561001633213
369,1.0019563303401957
370,1.0019565355340756
371,1.0019567151713529
372,1.001956868695413
373,1.0019569955676753
374,1.0019570952679977
375,1.0019571672959595
376,1.0019572111711257
377,1.0019572264344636
378,1.001957212648344
379,1.0019571693979628
380,1.001957096291865
381,1.0019569929624565
382,1.0019568590669217
383,1.001956694288054
384,1.0019564983348903
385,1.0019562709430372
386,1.0019560118758448
387,1.001955720924669
388,1.0019553979096416
389,1.0019550426804251
390,1.0019546551164424
391,1.0019542351278021
392,1.0019537826554816
393,1.0019532976720797
394,1.0019527801824744
395,1.0019522302236583
396,1.001951647866107
397,1.0019510332132355
398,1.0019503864022588
399,1.001949707604961
400,1.001948997027093
401,1.0019482549094423
402,1.0019474815276126
403,1.0019466771926162
404,1.0019458422510052
405,1.001944977084883
406,1.0019440821121337
407,1.0019431577866251
408,1.0019422045981539
409,1.001941223072366
410,1.001940213771227
411,1.0019391772925492
412,1.0019381142701038
413,1.001937025373331
414,1.0019359113075494
415,1.001934772813386
416,1.001933610666876
417,1.0019324256790405
418,1.0019312186956195
419,1.0019299905965457
420,1.0019287422962648
421,1.0019274747422982
422,1.0019261889155442
423,1.0019248858296228
424,1.0019235665302886
425,1.0019222320947145
426,1.0019208836309743
427,1.0019195222778035
428,1.0019181492030669
429,1.0019167656040389
430,1.0019153727056072
431,1.001913971760418
432,1.0019125640471607
433,1.0019111508702065
434,1.0019097335589415
435,1.0019083134660796
436,1.0019068919670013
437,1.0019054704590244
438,1.0019040503598096
439,1.001902633106579
440,1.0019012201549702
441,1.0018998129775223
442,1.001898413063068
443,1.0018970219148833
444,1.0018956410497462
445,1.001894271996515
446,1.0018929162948804
447,1.0018915754937576
448,1.0018902511501733
449,1.0018889448277613
450,1.001887658095108
451,1.001886392524498
452,1.001885149690223
453,1.0018839311674526
454,1.0018827385299007
455,1.001881573349102
456,1.0018804371922374
457,1.0018793316205012
458,1.0018782581881638
459,1.0018772184400115
460,1.001876213910232
461,1.0018752461205018
462,1.0018743165785728
463,1.001873426776095
464,1.0018725781872069
465,1.001871772266792
466,1.001871010448948
467,1.0018702941447257
468,1.0018696247407632
469,1.001869003597587
470,1.0018684320476448
471,1.001867911393724
472,1.0018674429071346
473,1.0018670278261086
474,1.001866667353788
475,1.0018663626569948
476,1.0018661148639503
477,1.0018659250631379
478,1.0018657943011706
479,1.0018657235813906
480,1.0018657138621514
481,1.0018657660552854
482,1.0018658810244008
483,1.0018660595832019
484,1.0018663024942558
485,1.0018666104673581
486,1.0018669841576313
